"","Gene1","Gene2","Gene3","Gene4","Gene5","Gene6","Gene7","Gene8","Gene9","Gene10","Gene11","Gene12","Gene13","Gene14","Gene15","Gene16","Gene17","Gene18","Gene19","Gene20","Gene21","Gene22","Gene23","Gene24","Gene25","Gene26","Gene27","Gene28","Gene29","Gene30","Gene31","Gene32","Gene33","Gene34","Gene35","Gene36","Gene37","Gene38","Gene39","Gene40","Gene41","Gene42","Gene43","Gene44","Gene45","Gene46","Gene47","Gene48","Gene49","Gene50","Gene51","Gene52","Gene53","Gene54","Gene55","Gene56","Gene57","Gene58","Gene59","Gene60","Gene61","Gene62","Gene63","Gene64","Gene65","Gene66","Gene67","Gene68","Gene69","Gene70","Gene71","Gene72","Gene73","Gene74","Gene75","Gene76","Gene77","Gene78","Gene79","Gene80","Gene81","Gene82","Gene83","Gene84","Gene85","Gene86","Gene87","Gene88","Gene89","Gene90","Gene91","Gene92","Gene93","Gene94","Gene95","Gene96","Gene97","Gene98","Gene99","Gene100","Gene101","Gene103","Gene104","Gene105","Gene106","Gene107","Gene108","Gene109","Gene110","Gene111","Gene112","Gene113","Gene114","Gene115","Gene116","Gene117","Gene118","Gene119","Gene120","Gene121","Gene122","Gene123","Gene124","Gene125","Gene126","Gene127","Gene128","Gene129","Gene130","Gene131","Gene132","Gene133","Gene134","Gene135","Gene136","Gene137","Gene138","Gene139","Gene140","Gene141","Gene142","Gene143","Gene144","Gene145","Gene146","Gene147","Gene148","Gene149","Gene150","Gene151","Gene152","Gene153","Gene154","Gene155","Gene156","Gene157","Gene158","Gene159","Gene160","Gene161","Gene162","Gene163","Gene164","Gene165","Gene166","Gene167","Gene168","Gene169","Gene170","Gene171","Gene172","Gene173","Gene174","Gene175","Gene176","Gene177","Gene178","Gene179","Gene180","Gene181","Gene182","Gene183","Gene184","Gene185","Gene186","Gene187","Gene188","Gene189","Gene190","Gene191","Gene192","Gene193","Gene194","Gene195","Gene196","Gene197","Gene198","Gene199","Gene200","group"
"Cell20",NA,6.31392050695185,3.33572566698427,4.6427372309399,6.88779737909044,12.1607592469721,13.1917915561666,3.65269870151873,NA,5.31705578011184,6.8978364006575,6.47010228825622,NA,3.74456667709456,4.90410468399667,5.28681539592718,6.28361363683994,NA,NA,7.17049381997298,1.7993996605586,3.74456667709456,NA,8.53062231685371,12.1757922909761,8.28885697143846,NA,5.63773058324785,7.9935825359488,NA,0,NA,NA,8.4130491837374,NA,3.21244147135246,NA,9.66128936914595,5.66149510408645,NA,3.65269870151873,NA,4.68972045997905,5.28681539592718,8.30403501479364,NA,7.43461914849634,7.31983670793446,NA,NA,7.04059679630587,NA,5.37569889790034,5.09071430646827,NA,6.49676794416316,6.7054904307749,8.14876078267848,7.07639544999821,4.13244168477896,5.6848745036269,NA,4.822133004003,NA,7.46869327837438,5.37569889790034,7.13698204503465,0,NA,NA,4.822133004003,8.23839563763709,2.7630768684204,3.21244147135246,8.47471084026982,6.73938211938231,0.869411756798818,7.84064780511957,9.39152365871345,1.4080790477333,6.42915626705741,2.57567708701791,6.17222615683303,7.14543324881844,6.95664632834042,7.57887158563846,1.7993996605586,7.75487841251479,6.58639774769789,NA,6.87768801100262,8.33021831455326,5.87980987251463,NA,0,6.93730816985628,5.40415011914718,2.7630768684204,6.29884665294572,6.927541009266,3.33572566698427,NA,12.0207838779628,7.55369404539246,5.22436389780882,6.77249586724114,5.28681539592718,8.7680479415075,1.4080790477333,8.25801327079947,NA,NA,NA,4.86370095356543,9.3826149083295,5.09071430646827,1.7993996605586,6.87768801100262,NA,4.68972045997905,7.78764236879439,8.44420941898261,NA,3.21244147135246,2.92890896915739,7.2273291729572,7.33469395439012,7.02235875134801,NA,6.05151370107447,7.25882871527918,8.11042401714191,5.37569889790034,5.56399394319244,3.33572566698427,NA,5.01894025252457,NA,2.92890896915739,6.88779737909044,5.87980987251463,7.80374947755157,7.21934564005219,NA,NA,3.74456667709456,2.10690819190686,9.29226826574238,0,4.26244763108313,NA,NA,NA,4.94340763649589,5.99651881919756,NA,6.10448895470163,NA,7.06752871961709,9.2379821572889,NA,6.12172374254986,2.7630768684204,5.89992885597501,11.7956715399343,9.17126392860716,0,12.0831505292009,NA,5.66149510408645,8.02139802253774,6.78336701009874,NA,7.16218857124838,4.68972045997905,3.83093325215378,6.83652689544598,4.54391537653017,6.7054904307749,8.21047492834903,8.54026798532727,NA,4.94340763649589,6.05151370107447,0,5.91977112628564,0,NA,8.61823519513298,NA,NA,NA,5.81771266759266,0.869411756798818,7.83020136980956,4.94340763649589,7.11132727130405,7.56002974312767,6.93730816985628,"Group3"
"Cell21",8.7721002099133,NA,3.7856917824736,5.09834839032034,NA,12.616023923134,13.4690379384785,3.48968165170544,4.80021837503778,NA,6.4591230478622,NA,NA,2.61271578283857,5.20225236467155,NA,NA,2.61271578283857,6.93684785281781,7.49248534134258,0,1.18848638355328,NA,8.32545725280551,12.0065708903361,NA,3.7856917824736,5.4754283276453,7.91574424530466,7.03860924511833,0,NA,7.15970975821427,7.80457951245096,7.89263373389736,3.31526841753031,NA,9.18102340491457,NA,6.6911265370555,2.61271578283857,NA,5.38999074983253,4.98637634874958,7.81281025364898,3.48968165170544,8.08160319170858,NA,7.50269685680696,NA,7.67512761753788,3.31526841753031,NA,5.29917321228532,NA,6.98134157247171,6.93684785281781,8.50380668303188,6.76085085898123,4.50749624313861,5.84000845110561,7.83722442893179,4.73241574338711,10.5372919288524,7.56249312065369,5.4754283276453,6.67315591252336,2.27423333077253,8.01895274600854,0,6.04954114321754,NA,1.18848638355328,2.27423333077253,8.26675094353542,7.39717562666868,0,NA,9.28821522919103,0,6.5004746397908,NA,6.07713658992433,6.37268470330744,6.77776785579021,NA,NA,6.89093812952727,6.30427802924128,6.35024095369719,6.99587301280917,8.64418119460723,5.29917321228532,6.72640987226845,NA,7.64778262089261,6.54067393316304,NA,NA,NA,NA,5.25152653328314,11.9451855899347,7.94599342122671,NA,NA,5.99271439887935,9.23714442467561,2.88668182942522,7.77960173766063,NA,0,2.27423333077253,3.64526530506336,NA,NA,3.31526841753031,7.4080819051445,6.232465636665,3.91365394364606,8.80134939661711,8.46255186344105,NA,0,4.13985868745588,6.30427802924128,7.30682368009734,6.04954114321754,5.87187013438305,5.5947872395226,7.21043294684545,NA,5.09834839032034,3.11683216140871,NA,7.57222257308698,4.80021837503778,6.04954114321754,NA,7.10713802173146,NA,9.32032302916662,6.72640987226845,3.48968165170544,7.09369020692502,NA,1.83117598746062,8.3022606001962,0,NA,8.08160319170858,NA,NA,5.04344840921562,NA,7.70196394068867,NA,5.4754283276453,NA,9.17145392588857,2.61271578283857,5.99271439887935,2.27423333077253,7.4080819051445,11.3011842007067,9.51952687933457,NA,10.8030594648632,1.83117598746062,NA,7.94599342122671,7.09369020692502,7.05257788833135,NA,5.80742718602727,4.58643029928936,6.99587301280917,4.03118520181175,NA,7.98293424274894,7.70196394068867,6.56036119324413,4.03118520181175,6.77776785579021,NA,6.98134157247171,0,NA,8.68958386425901,NA,4.24091647372327,7.42965019238813,NA,NA,7.73698640262874,5.93355717957796,NA,5.99271439887935,NA,"Group4"
"Cell22",NA,NA,3.81904476022407,5.53587467543193,6.29782670896759,12.4966505806016,13.1409003488434,3.47087718565538,5.29766603581954,NA,6.09986370407378,6.64181519006755,6.6123688022567,3.01101799296307,5.01219351682774,5.01219351682774,6.16215576939054,NA,6.16215576939054,NA,0,3.47087718565538,11.8110534286561,8.50840546154753,NA,8.87053913503717,3.01101799296307,NA,7.79388790134215,NA,NA,11.8434929855138,6.7267113208317,7.91942352997387,7.71988432207062,4.09931071518252,2.0094491363672,9.00124516575662,5.33419994592706,6.56704068862189,2.81814889707488,5.05659950527959,NA,5.09967939799371,NA,NA,6.62716712246047,NA,7.57476126958127,2.0094491363672,7.63457335726176,3.18111720653978,5.91926688564831,NA,5.14151010609865,6.20223804454604,5.98966615971684,9.67790563092164,7.31628658495171,3.91864013821003,NA,7.55941259614045,4.40430575841544,10.7207993855939,8.16735928738452,4.33388658355607,NA,1.00630629572818,6.85796623208409,0,NA,7.9609016456399,NA,3.59650306698935,NA,NA,0,8.22199617789519,NA,0,6.94321977097066,NA,5.22169981144431,7.94327112786144,NA,7.83907843154203,0,NA,6.80688812069757,6.68488763492304,NA,8.68143934204522,NA,6.67067255929055,1.00630629572818,7.60497725675249,5.22169981144431,NA,6.18233610280209,6.07848730261728,NA,NA,11.7678864089698,7.5974823820423,5.01219351682774,7.2121722467795,5.62703924411058,NA,3.91864013821003,6.56704068862189,9.11847091253304,0,3.81904476022407,4.18181384478431,9.1132246601198,NA,1.00630629572818,7.31628658495171,7.13143606841735,NA,8.54393273950092,NA,0,2.81814889707488,NA,6.78065450764712,7.74044649299539,6.42182865735189,5.79371701521768,6.12092799053114,6.93134482179278,NA,NA,NA,NA,7.47194556671749,4.5970254510764,5.14151010609865,4.25985301263979,6.85796623208409,5.33419994592706,8.30256395847234,7.04591249172558,4.47144708734541,NA,3.71206066350445,0,8.87983705310343,NA,2.81814889707488,NA,9.29565338522371,4.91905800008706,4.87013399259045,6.47187436592272,8.30256395847234,6.42182865735189,5.87035008272042,NA,9.40058372847725,2.59545773102389,5.3698314977922,4.18181384478431,7.09995584828507,NA,8.98410373811543,0,NA,1.00630629572818,5.50415976120946,NA,6.78065450764712,5.71278387390918,7.46372465306082,4.47144708734541,4.81949248327262,NA,NA,7.13143606841735,8.10000191818386,8.24616319224365,NA,4.81949248327262,5.79371701521768,0,5.29766603581954,NA,7.12101879919299,8.79391638039509,4.65594003155965,5.96657933816706,6.03476016993569,5.40460419413851,2.81814889707488,7.62723105738505,4.18181384478431,6.68488763492304,8.08935433273125,NA,"Group2"
"Cell23",8.12715158135417,6.64514139606046,1.78098940796044,5.16691042735882,7.58397326512486,NA,13.2907654317125,3.72061654418197,NA,NA,6.13005576494546,NA,6.92132299179547,1.39199414541217,5.43411805169678,5.32141890022816,NA,4.35705523147929,NA,NA,0,3.42579109108413,NA,8.47875424062518,12.1670724118034,8.96020478990765,NA,NA,7.98176041689735,7.16124313800294,NA,11.8560736270377,6.83158117724787,8.06725015093958,7.74557456346868,NA,4.23791015982116,9.84359558460181,6.31802710107895,NA,3.72061654418197,4.99384757085287,NA,NA,NA,NA,7.61419025585675,6.49733536342597,NA,3.31241326433499,NA,3.054823019674,6.49733536342597,4.75438459495389,4.66483424887869,6.69122631880802,6.30326510686389,NA,6.94052960408888,3.42579109108413,5.81326822407491,8.01837538169544,4.51913677202516,10.0310933045882,NA,5.43411805169678,7.373977040251,3.054823019674,6.82125634610663,0,4.61788451487551,8.0363401823251,4.66483424887869,NA,9.06455821091539,6.13005576494546,0,7.84065121383721,9.43501854899158,1.78098940796044,6.21137308808388,3.18935954804675,6.54830523430109,6.74683643805019,6.91162294007956,8.00018405513925,1.39199414541217,7.20954375782739,NA,NA,6.6568013712391,8.34099818026925,NA,6.14669004161452,1.39199414541217,7.77796798696382,5.77097677860469,3.42579109108413,6.41733637090839,6.06153170251873,3.054823019674,NA,11.991730272369,NA,4.17443234782614,7.22529117691222,5.1991643050169,8.26304208625221,NA,7.47622688311959,9.09058346285758,NA,NA,4.99384757085287,9.36032562532885,5.23071283344696,3.054823019674,NA,NA,NA,NA,NA,0.857746904959769,2.55415550591185,3.31241326433499,7.19362255259876,NA,NA,6.54830523430109,6.24265862584149,NA,8.22438558331063,5.58820323622644,5.98958992839983,4.61788451487551,7.47622688311959,3.72061654418197,6.11322745566252,2.90643798700948,7.38803636801457,5.87446799482593,7.42259670038956,7.63791628226218,4.17443234782614,7.50231243070082,NA,0.857746904959769,NA,0,4.71030412672219,8.36962180488488,NA,5.56363827702447,5.16691042735882,NA,8.08893014557115,6.48430647317026,3.62887657609221,7.54057716660296,8.9625554856604,2.55415550591185,6.09620053365215,2.08706348809231,NA,11.1046499015211,9.13085337395685,1.78098940796044,NA,2.55415550591185,5.35042972691552,8.14795616975456,NA,5.46096904864411,6.86211959274422,NA,NA,NA,NA,7.13647256995415,8.54613249124371,8.44216361583823,6.11322745566252,NA,6.88212522273564,NA,NA,0,7.99560015565125,8.71179103383697,NA,6.07897025469256,6.58538463396774,6.16313470915773,2.3394309257184,8.1886863709285,NA,6.88212522273564,7.27909168960511,7.26392374431092,"Group3"
"Cell24",8.74536142888561,5.76281496045327,3.54343503355838,NA,6.68865064643109,12.057662376376,13.3054888901438,4.36053506699698,NA,NA,NA,5.35660711036908,NA,1.87376480092445,4.00907569828233,4.5365073263,6.78476516263834,3.64936259939417,6.11683280493931,6.8857523765738,0,3.30493787522741,12.1825636869762,8.34530192890271,11.9606823760149,8.78947267101497,1.87376480092445,NA,7.23105904266021,NA,NA,11.7539656401535,NA,8.31745178658299,7.2977366705237,NA,2.18687113729179,9.20224515348856,NA,6.18886930619661,NA,5.04345495360563,5.32498565485435,5.58734982636145,8.18280801499056,4.29676128680794,8.48419262298358,6.98013068188843,7.08767962597337,3.42910920668011,NA,2.44399425915003,5.38755031614291,5.22573712929591,NA,NA,NA,8.74834451144169,7.03978517614058,NA,NA,6.06034216322443,4.00907569828233,10.4603979178993,7.68786926950523,5.76281496045327,NA,0,7.0970706303027,0,4.83476495140546,NA,2.18687113729179,3.54343503355838,7.92780054681702,6.35463911433995,NA,7.66279200055731,9.24511385012379,1.87376480092445,6.67617328766851,NA,NA,6.46029452545581,6.87487438481048,7.66279200055731,NA,NA,6.68865064643109,6.63808036980811,6.72544802758489,NA,NA,5.73901768584268,NA,NA,6.25747930218173,4.23003750492772,5.80926331818581,6.25747930218173,4.00907569828233,NA,11.6883018049159,NA,4.83476495140546,7.18776431591006,6.17119457747023,9.09618750874164,NA,8.89284063104189,8.90090602177407,0,NA,NA,9.17368147314959,5.25958429980588,3.74804177269785,6.80782557497253,NA,4.08655130674786,7.9382881246993,8.63364331471313,0,NA,2.6621494563462,7.08767962597337,8.50902901015631,6.77309524077197,6.32297401703602,NA,6.17119457747023,NA,3.54343503355838,NA,NA,NA,NA,5.85426277257027,3.1690641228577,NA,5.58734982636145,7.57814292266954,6.53128962711304,4.00907569828233,7.05913417003142,4.08655130674786,0,9.14906249009516,0,NA,8.10581600847934,NA,5.61376109188657,NA,5.96097897759003,8.23052257626161,6.02141419379541,NA,6.53128962711304,8.51254241800904,0,4.16007751042006,4.36053506699698,6.35463911433995,11.1064669693332,9.52106935600215,0,NA,1.87376480092445,4.08655130674786,NA,NA,NA,6.47477579234093,4.92189555468809,3.74804177269785,6.51736735238552,NA,NA,8.48776696322128,7.23956423230582,6.54507883242891,NA,6.63808036980811,NA,5.69021213182488,0,7.2647830307186,8.49843715561707,3.64936259939417,NA,NA,4.69333004156972,3.42910920668011,6.74946832801263,4.69333004156972,6.00154909462836,7.15216804125371,6.25747930218173,"Group1"
"Cell25",7.96939944803345,5.83966831191285,NA,4.35319533171495,6.29925837242778,NA,12.6455272292186,3.48936628987754,4.27910906670979,4.42366217844384,6.16171259921185,5.24146838075012,6.6324717823157,NA,4.20101134478262,5.42443713781673,NA,3.19920116133261,7.05501187978067,7.09874072624437,0,3.19920116133261,12.4230571560327,8.40783572827974,NA,8.06619312444477,NA,NA,7.53256045420275,5.98656592354531,0,11.784847242361,6.71907900255035,NA,7.46733448479347,3.93761508391562,2.02474073941015,9.1800418239777,6.22227324037381,5.55574903919781,3.19920116133261,4.42366217844384,4.61650103525901,4.78657673560986,NA,NA,8.21765783718148,5.91498598054787,7.47565083354214,2.61242620302793,NA,2.83559567073197,6.11987875430743,4.98604108748732,5.20191558548954,6.39004959761326,6.74683000859313,8.45065167628223,6.73302123021226,3.35156647321565,5.91498598054787,NA,NA,10.4454402442978,NA,5.27996567341107,7.05501187978067,NA,7.02132284296189,1.01654087809649,5.42443713781673,7.99276557371479,4.11844276606084,3.48936628987754,8.2226074359217,6.42482446145486,0,7.25184449325547,NA,NA,6.40754180409198,2.61242620302793,NA,6.07679553462727,6.86549896283345,7.3273078453148,1.01654087809649,NA,6.07679553462727,5.83966831191285,6.61751794754134,8.49223348173833,NA,4.73208258436913,0,7.27108360353373,6.9751443322399,3.83792430184818,6.33626327578106,NA,3.83792430184818,5.16124777340702,11.9517490963069,8.01004512017701,4.03086019458072,NA,NA,9.0962285494138,0,8.45065167628223,8.79437055316698,NA,NA,NA,NA,NA,3.19920116133261,6.7050007210848,6.67642519058419,3.02882325891755,7.50031605612501,8.28071478727914,2.61242620302793,3.93761508391562,NA,7.07704197721628,8.20270633146075,6.91526167046936,5.6760998596909,6.26127925582547,5.76020095807455,7.31808798722835,3.48936628987754,5.55574903919781,4.55504151717146,8.11492328701216,5.49158654921234,5.83966831191285,2.02474073941015,6.9984183428476,5.61717905641775,7.75383930570871,6.87810148081009,4.27910906670979,7.34557265770275,3.35156647321565,0,8.2226074359217,NA,3.35156647321565,8.26160453781756,8.69102523864325,5.86521359671124,5.11940025035351,NA,NA,5.6760998596909,NA,6.55610267013573,9.16469324616326,3.35156647321565,NA,3.73083010584211,6.40754180409198,11.3107497065727,NA,NA,NA,2.34830322868082,5.07630252312058,8.26160453781756,7.29006952271853,5.38965282315984,NA,4.61650103525901,4.42366217844384,6.47546388865785,4.20101134478262,6.44190253094366,8.47159238429231,7.44209387540623,NA,3.83792430184818,6.83995877539765,1.60697512815626,6.00965786585026,0,6.96336499679232,9.3274632195535,4.27910906670979,5.6760998596909,5.89031441882488,4.83908720944387,2.83559567073197,7.19253815001488,NA,6.45878079966752,7.57187820892991,NA,"Group1"
"Cell26",NA,NA,3.21294563565069,3.8862929625958,6.73745857063452,12.6985806273272,NA,2.48434127758307,NA,NA,6.43432222277718,5.98874637588612,6.21979980306866,3.0623394510372,5.05182951603459,5.23902766237741,NA,4.34357192024996,NA,7.22789052377302,0.940473172957358,NA,NA,8.55112043037088,NA,8.5404754893944,2.7037531028865,NA,NA,7.48636499925962,0,11.6080422268435,6.74983295282333,NA,7.7676626656203,3.8862929625958,2.48434127758307,9.24708253343155,NA,6.74983295282333,NA,5.43567021366514,5.16703623860556,4.92661824430938,8.28389983787525,5.01128798813697,NA,6.86806758626931,NA,3.0623394510372,7.65375046452076,3.21294563565069,5.16703623860556,4.63796357540559,NA,6.12798025938789,6.4943881684162,8.86447630893696,6.76210209861929,4.34357192024996,5.23902766237741,7.87887969445636,5.66204906259729,NA,NA,4.69026368801475,NA,2.22546938794083,NA,0,5.52477585934172,7.01883511316733,2.48434127758307,NA,7.73691194624092,6.83360336535079,NA,NA,9.18464625154758,1.50503478966931,NA,3.97329177602244,5.94636593328583,5.68800313860098,7.37893088039272,7.93955521256124,NA,7.50107990170945,6.81016115591902,6.30612357344843,6.83360336535079,NA,5.49568121322963,NA,NA,7.28001418283284,5.73855119848036,NA,NA,NA,2.48434127758307,5.01128798813697,11.9869373099382,NA,NA,6.87937509920795,5.37305421879804,NA,2.89415868572072,7.47895088037015,8.86162844115492,0,NA,4.96957417063016,8.89821931459897,5.49568121322963,3.97329177602244,7.3709419824315,NA,5.01128798813697,8.59978396167869,8.65016392359827,0,1.50503478966931,0,6.71238676571446,6.78633173593198,6.43432222277718,NA,6.14681762853097,7.18296773903234,NA,4.74073397478987,5.12964695809201,3.69477418839186,7.71183055696484,4.27673125627344,6.3392569382273,NA,NA,5.34069670001724,NA,NA,3.69477418839186,7.21008891271908,NA,NA,8.32583087865458,0,4.96957417063016,7.94494669863222,9.1383343650665,NA,4.78949815954999,5.23902766237741,8.48603975294027,NA,NA,7.37893088039272,9.27731578288657,2.7037531028865,NA,3.34930522708811,6.84518315901988,NA,NA,0,NA,2.22546938794083,NA,8.41788398971208,NA,7.20110505260816,7.13660106363507,5.20348095628541,NA,5.73855119848036,3.97329177602244,6.18377016380168,8.65675026105677,7.63385895107598,6.78633173593198,4.52730696094272,5.83462557599144,0.940473172957358,NA,0,7.4026355248067,NA,4.27673125627344,5.68800313860098,NA,NA,0.940473172957358,8.20520884526018,NA,7.05916804061715,5.43567021366514,6.4943881684162,"Group4"
"Cell27",8.76250375864583,NA,3.47707629270258,5.28568332926856,6.87721221657897,12.1506069403048,13.3930083847966,2.60114499972041,4.32220217820104,4.57316605473478,NA,NA,6.84577604974277,NA,NA,4.49426454562715,6.21880750825111,2.8747182867165,6.4867851519089,7.9470961628089,0,1.18073347742649,11.7789679212019,NA,12.0395045304756,8.40088250663471,4.01819260788377,NA,8.14086166277022,7.01076775375209,NA,11.5439325050495,6.89267710495042,8.19175805221875,8.77924106639895,3.63253345822868,1.82123671910522,9.59112465486237,6.38110682950417,5.50278248432859,NA,4.97297197407176,4.97297197407176,5.28568332926856,8.20420646026347,3.30282203935102,7.29306841674951,6.93810132310504,7.05267324405067,1.18073347742649,7.51913676306888,3.47707629270258,6.09057315860352,5.54254036653763,3.47707629270258,6.54666545927627,6.19405630973764,8.08137137071383,6.87721221657897,3.47707629270258,6.26707130152544,7.84744902642715,NA,NA,NA,5.18878702372734,7.43713716523249,0,7.82344214075601,0,4.97297197407176,7.90195873530759,3.77285690287122,2.60114499972041,8.81620480275491,6.26707130152544,NA,NA,9.42291355854777,NA,6.93810132310504,4.78687441704366,NA,7.15881202716094,6.93810132310504,7.83148890458239,0,6.52698022401388,6.62282553811902,NA,6.81363960497271,8.72843510261675,5.58123191880205,6.03590801949542,0,7.39432068758378,5.76050413128477,4.57316605473478,NA,7.26956919080803,4.22780883263295,6.03590801949542,12.1114893321596,7.8153502435134,NA,7.69702286620493,4.71909579984495,8.5399635455644,NA,8.15375508118911,8.75828891465176,1.18073347742649,NA,4.57316605473478,9.1672042570026,4.01819260788377,2.26326281221104,6.98213887833057,NA,3.47707629270258,NA,7.89429659884642,1.18073347742649,1.18073347742649,NA,6.89267710495042,NA,6.99652432888856,5.50278248432859,NA,NA,7.38341503052621,5.08491125642112,5.37647931899833,4.64797525488284,7.03883955376788,4.12680439720079,6.03590801949542,NA,7.23358669766594,5.82640814856316,8.0746073296831,NA,NA,7.96914611166262,NA,0,8.74556999297495,0,2.60114499972041,8.43824776381371,9.16402153114596,NA,NA,5.72638765898807,8.01932206457393,6.52698022401388,NA,7.33894883575693,9.3603303833124,NA,NA,0,6.78077097101365,11.257794094596,NA,1.82123671910522,12.0763691445991,1.18073347742649,5.18878702372734,NA,NA,5.6914448283971,7.13300037398672,5.94981877238212,4.22780883263295,7.13300037398672,4.78687441704366,7.03883955376788,8.16015883542103,8.13437148366001,6.38110682950417,5.82640814856316,6.09057315860352,0,6.26707130152544,NA,7.28136664891407,NA,4.49426454562715,NA,6.24314122206545,NA,NA,7.87106296011785,NA,NA,NA,7.06637554494077,"Group3"
"Cell28",8.1289682334061,4.91791506909752,2.77526658700993,4.27599199297189,6.98990096116243,NA,NA,NA,5.06913120492451,4.45145255160623,NA,6.10112187129555,6.64936292395204,1.80959526954859,5.38964169343931,4.07619841745452,6.54999647428308,3.22519231252594,6.2977163621397,7.03653460538488,0,NA,12.2656702163467,8.66846371588191,12.2138569230784,8.20034153476176,3.84421923150828,NA,NA,NA,0,11.7436883750327,NA,8.63854346400705,7.74683332654433,NA,1.80959526954859,9.13069441326084,6.08346264167505,6.57548703571413,4.00293974321181,4.83591562470783,NA,4.21241956580649,NA,NA,8.68026020616818,7.31902016281157,7.51618794882866,NA,7.28079018452023,3.84421923150828,NA,4.79309923071587,5.36061112297731,6.13580479680004,6.63731000137374,8.59558443624486,NA,4.00293974321181,NA,6.37233143403002,4.21241956580649,10.4206341613287,7.39256892166644,5.10458231038899,7.63611493144306,0,7.34148114392432,0,4.95723078436349,7.72990654175784,0.875895196065965,3.09022982411133,7.97944852043284,6.79752316215131,0,8.18386270598937,9.24431905172696,1.80959526954859,NA,3.56765542255186,5.06913120492451,6.37233143403002,6.0291497460109,7.82330061673193,NA,6.41531571679374,NA,NA,7.31145478233779,NA,5.85274692514444,5.38964169343931,0,7.24151951000622,6.18631423427257,NA,6.2977163621397,6.37233143403002,3.75779098874531,4.45145255160623,11.7203111735708,NA,NA,7.28851765437459,6.06558457377758,9.13926663470201,NA,8.92298553332267,8.86731493664604,NA,2.94132637487069,NA,9.0050066910536,5.30073642983808,NA,6.53708028514539,5.4180996018902,4.39530378031884,NA,8.15032939016857,1.41699799351821,3.22519231252594,2.11788975531814,6.7423242411623,NA,6.4011294471397,6.44327650403007,5.91397598129328,NA,7.09057532412767,NA,NA,3.84421923150828,8.78230053830931,4.45145255160623,5.89385365420543,NA,6.90196254285587,NA,NA,6.62515553432105,NA,6.82965640462822,4.45145255160623,1.41699799351821,8.62028885985036,0,4.70345476067305,8.26443671601348,9.15203021470359,5.83174583010845,5.03278697260797,5.03278697260797,7.99841930524113,NA,4.33688093030181,6.75353427615932,8.76855255735227,3.66585323308221,6.0291497460109,3.66585323308221,NA,11.1841828648222,8.89288635588025,0,12.2588027933906,2.11788975531814,4.99550344638909,8.64156356749409,6.99934906077901,4.95723078436349,7.20931469028156,NA,NA,NA,4.07619841745452,NA,7.78557353764653,6.92197286511895,NA,3.09022982411133,6.73102641933809,NA,6.08346264167505,0,7.28079018452023,9.02826906381169,4.21241956580649,5.57797863926271,5.95339773423599,6.28231882906339,1.80959526954859,7.49630643567331,3.34860224097564,7.09057532412767,7.65417162173594,NA,"Group1"
"Cell29",NA,5.95175765023699,3.39947216189593,5.41923154783082,6.18272236426956,12.6596009928287,NA,2.53009595058892,5.1057076789347,4.63694384147023,NA,NA,NA,2.53009595058892,5.60765608205851,3.69379384269731,6.10976669254172,3.22622745737564,NA,7.25400064958298,0,NA,11.6971370517365,8.59049769551013,11.9166481908905,8.45960955929094,1.76045536281905,5.53521187463679,7.55812955283416,7.42412939641402,NA,11.5289514092756,NA,8.00963507754058,7.53973198131125,NA,3.02930293459349,NA,6.10976669254172,6.50067288582678,3.69379384269731,NA,NA,5.15488823590089,8.22644257743993,2.80118476862309,NA,6.18272236426956,6.74507925090982,NA,NA,3.39947216189593,NA,5.15488823590089,5.4975783115234,7.00854851214317,NA,9.2860521424713,6.89734327332312,4.41267510968805,5.37840264943817,7.37308683887736,5.33638453851468,10.5364156296838,7.73833882240987,5.24848861925193,7.62945981410426,0,7.24267089661369,0,NA,7.71393231918228,NA,3.93812605859696,7.24267089661369,6.82321909982967,0,7.54896009312005,NA,0,6.85332730076236,3.22622745737564,5.92365459556694,7.97582102555312,7.24267089661369,7.53973198131125,2.53009595058892,7.35215319862256,6.50067288582678,6.89734327332312,7.20813780269288,NA,5.74246736236653,6.64535717062703,0,7.0992833822073,5.57188864927157,NA,6.61052354886338,NA,2.80118476862309,4.24110633244616,11.9972318401598,7.61195514785275,4.49136917789872,7.00854851214317,5.24848861925193,9.37694589339535,2.196001291616,7.12419294674481,8.96608014161084,NA,NA,3.39947216189593,9.07868295751211,6.15881139699488,3.82112623850721,6.69607966397916,NA,1.13358011689247,8.35300955632196,8.39966294184566,1.13358011689247,NA,1.76045536281905,NA,NA,6.98154044604759,6.15881139699488,NA,6.89734327332312,7.71393231918228,3.39947216189593,6.48152284552028,3.39947216189593,7.29845033871932,NA,5.57188864927157,NA,6.80792604562951,5.60765608205851,8.42494409035028,6.96784441347023,NA,NA,4.3294396412384,0,8.9098875139881,0,4.704569335128,8.11901296531227,8.96608014161084,4.76916635146578,5.57188864927157,6.64535717062703,8.04919279700497,5.05479123886241,4.41267510968805,6.69607966397916,9.49623711015043,NA,6.08460459914291,2.80118476862309,6.74507925090982,11.3055712865252,9.29978337166069,0,NA,2.80118476862309,5.15488823590089,8.47421494011627,6.51957205872409,5.70992705003998,7.1364882805747,NA,NA,7.02186527910819,NA,NA,8.28836126351455,8.41992317772738,NA,NA,6.29667104330986,0,6.18272236426956,NA,6.71259846459707,9.0722970449392,4.49136917789872,6.38176340004338,NA,5.15488823590089,3.39947216189593,7.43412472527403,5.05479123886241,7.20813780269288,6.7768448383405,6.03292430441708,"Group2"
